Model,CV_ROC_AUC_mean,CV_ROC_AUC_std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_AvgPrecision
Logistic Regression,0.8474096409821911,0.012011945850130434,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8455346301893616,0.657788229718936
Random Forest,0.8380026170882615,0.008693463461027428,0.7636621717530163,0.5414141414141415,0.7165775401069518,0.616800920598389,0.8319176418920665,0.6358058422561552
Gradient Boosting,0.8352119592007201,0.0071752447458711096,0.7899219304471257,0.6291390728476821,0.5080213903743316,0.5621301775147929,0.8285618331654139,0.6282746598083713
Decision Tree,0.779739315780202,0.016323935009617627,0.730305180979418,0.495,0.7941176470588235,0.6098562628336756,0.7950282879950399,0.5600893775451251
